INFO 2024-01-16 12:03:26,790 autoreload Watching for file changes with StatReloader
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/itercompat.py first seen with mtime 1705385669.7147148
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/json/scanner.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/staticfiles/finders.py first seen with mtime 1705385669.509959
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/base/__init__.py first seen with mtime 1705385669.5664945
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/module_loading.py first seen with mtime 1705385669.7153163
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/signal.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/auth/admin.py first seen with mtime 1705385668.1905828
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1705385669.5158374
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/sqlite3/introspection.py first seen with mtime 1705385669.6305459
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/quopri.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/admin/decorators.py first seen with mtime 1705385667.3786092
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/opcode.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/mime/message.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/forms/models.py first seen with mtime 1705385669.6856637
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/constants.py first seen with mtime 1705385669.6788452
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/apps/__init__.py first seen with mtime 1705385666.8449726
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/__init__.py first seen with mtime 1705385669.5144317
DEBUG 2024-01-16 12:03:26,861 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/migrations/exceptions.py first seen with mtime 1705385669.6316788
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/http/multipartparser.py first seen with mtime 1705385669.7018833
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/base/creation.py first seen with mtime 1705385669.5670269
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/options.py first seen with mtime 1705385669.6801493
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/message.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog-master/home/models.py first seen with mtime 1622347591.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/encoding.py first seen with mtime 1705385669.7134335
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/sqlparse/tokens.py first seen with mtime 1705069386.758693
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/messages/constants.py first seen with mtime 1705385669.1231372
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog-master/blog/models.py first seen with mtime 1622347591.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/datastructures.py first seen with mtime 1705385669.7122893
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/statistics.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/sqlparse/utils.py first seen with mtime 1705069386.758947
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/template/loader.py first seen with mtime 1705385669.7055094
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/uu.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/compatibility/django_4_0.py first seen with mtime 1705385669.515976
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_hashlib.cpython-38-darwin.so first seen with mtime 1571063016.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1705385669.5100846
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/servers/basehttp.py first seen with mtime 1705385669.565162
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/admin/actions.py first seen with mtime 1705385667.3782065
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/mime/__init__.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/urllib/request.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog-master/blog/templatetags/extras.py first seen with mtime 1622347591.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog-master/Technicalamster/__init__.py first seen with mtime 1622347591.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/base_futures.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_random.cpython-38-darwin.so first seen with mtime 1571063009.0
DEBUG 2024-01-16 12:03:26,862 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/translation.py first seen with mtime 1705385669.5155895
DEBUG 2024-01-16 12:03:26,862 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/log.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1705385668.192418
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/admin/models.py first seen with mtime 1705385667.3792052
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/sre_parse.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/autoreload.py first seen with mtime 1705385669.711617
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/bisect.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/_markupbase.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/admin/templatetags/log.py first seen with mtime 1705385668.0677197
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/files/locks.py first seen with mtime 1705385669.5170863
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/urllib/response.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/collections/abc.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/template/context.py first seen with mtime 1705385669.7043717
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/views/decorators/common.py first seen with mtime 1705385669.719652
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_uuid.cpython-38-darwin.so first seen with mtime 1571063026.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/charset.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/typing_extensions.py first seen with mtime 1705385665.7544463
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/sqlparse/filters/right_margin.py first seen with mtime 1705069386.761769
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/templatetags/static.py first seen with mtime 1705385669.7084298
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/deletion.py first seen with mtime 1705385669.6791713
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/files/storage/mixins.py first seen with mtime 1705385669.5186946
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/uuid.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/asgiref/__init__.py first seen with mtime 1705385665.8931682
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1705385669.341402
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/json/__init__.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/serializers/json.py first seen with mtime 1705385669.5639782
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/futures.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog-master/blog/views.py first seen with mtime 1622347591.0
DEBUG 2024-01-16 12:03:26,863 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/ipv6.py first seen with mtime 1705385669.7145889
DEBUG 2024-01-16 12:03:26,863 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/errors.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/files/base.py first seen with mtime 1705385669.5168018
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/indexes.py first seen with mtime 1705385669.6797047
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/topological_sort.py first seen with mtime 1705385669.7167358
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/contenttypes/models.py first seen with mtime 1705385668.394232
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/_policybase.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/wsgiref/__init__.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/token.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/forms/__init__.py first seen with mtime 1705385669.6849115
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/signals.py first seen with mtime 1705385669.5661936
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/urls/conf.py first seen with mtime 1705385669.7102988
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/connection.py first seen with mtime 1705385669.7120297
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/security/sessions.py first seen with mtime 1705385669.516476
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/admin/views/__init__.py first seen with mtime 1705385668.06782
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1705385669.7052
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/files/utils.py first seen with mtime 1705385669.5177372
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/views/__init__.py first seen with mtime 1705385669.7182324
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/dates.py first seen with mtime 1705385669.7126694
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/json/encoder.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/keyword.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/migrations/operations/models.py first seen with mtime 1705385669.6339462
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/argparse.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/sslproto.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/signing.py first seen with mtime 1705385669.512632
DEBUG 2024-01-16 12:03:26,864 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/http/request.py first seen with mtime 1705385669.702086
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/wsgiref/simple_server.py first seen with mtime 1571063031.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/__init__.py first seen with mtime 1705385669.5119526
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/inspect.py first seen with mtime 1705385669.7144606
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/views/i18n.py first seen with mtime 1705385669.7189205
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/handlers/base.py first seen with mtime 1705385669.519099
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/contenttypes/views.py first seen with mtime 1705385668.3943796
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/functional.py first seen with mtime 1705385669.7138636
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/cache/utils.py first seen with mtime 1705385669.5131936
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/apps/registry.py first seen with mtime 1705385666.8453655
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/fields/files.py first seen with mtime 1705385669.6812913
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/messages/storage/__init__.py first seen with mtime 1705385669.123753
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/selectors.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/base/operations.py first seen with mtime 1705385669.5675898
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/registry.py first seen with mtime 1705385669.5153368
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/models/fields/__init__.py first seen with mtime 1705385669.6811104
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/forms/forms.py first seen with mtime 1705385669.685341
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/_os.py first seen with mtime 1705385669.711162
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/importlib/machinery.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/http/response.py first seen with mtime 1705385669.7022874
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/traceback.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/format_helpers.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/views/generic/detail.py first seen with mtime 1705385669.7210782
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/concurrent/futures/_base.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/wsgi.py first seen with mtime 1705385669.5129094
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/cache.py first seen with mtime 1705385669.7119062
DEBUG 2024-01-16 12:03:26,865 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/contextlib.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,865 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/validators.py first seen with mtime 1705385669.5127864
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1705385668.5442672
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/forms/renderers.py first seen with mtime 1705385669.6857805
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/contrib/auth/models.py first seen with mtime 1705385668.1922684
DEBUG 2024-01-16 12:03:26,866 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/asyncio/selector_events.py first seen with mtime 1571063030.0
DEBUG 2024-01-16 12:03:26,866 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/weakref.py first seen with mtime 1571063029.0
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/checks/security/csrf.py first seen with mtime 1705385669.5163565
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/core/handlers/wsgi.py first seen with mtime 1705385669.5193481
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/__init__.py first seen with mtime 1705385669.5658941
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/templatetags/l10n.py first seen with mtime 1705385669.7083218
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/views/decorators/cache.py first seen with mtime 1705385669.719365
DEBUG 2024-01-16 12:03:26,866 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/pkgutil.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,866 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/pprint.py first seen with mtime 1571063028.0
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/db/backends/sqlite3/features.py first seen with mtime 1705385669.6303456
DEBUG 2024-01-16 12:03:26,866 autoreload File /Volumes/Programming/BNY/Blog/.venv/lib/python3.8/site-packages/django/utils/dateformat.py first seen with mtime 1705385669.7124197
DEBUG 2024-01-16 12:03:26,866 autoreload File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/multiprocessing/process.py first seen with mtime 1571063032.0
